ID базы,GEDCOM ID,Пол,Семьи как супруг,Семьи как ребёнок
15363,I508291,M,F502060,
15364,I508292,M,,F502060
15365,I508293,M,,F502060
15386,I508314,M,,F502065
15448,I508376,F,,F502077
15449,I508377,F,,F502077
15450,I508378,U,,F502077
15452,I508380,F,,F502078
15453,I508381,M,F502078,
15454,I508382,M,,F502079
15455,I508383,M,F502079,
15456,I508384,M,,F502080
15457,I508385,M,F502080,
15458,I508386,M,,F502081
15459,I508387,M,F502081,
15460,I508388,M,,F502082
15461,I508389,M,F502082,
15462,I508390,M,,F502083
15463,I508391,M,F502083,
15464,I508392,M,,F502084
15465,I508393,M,F502084,
15466,I508394,F,,F502085
15467,I508395,M,F502085,
15469,I508397,M,F502086,
15471,I508399,M,F502087,
15473,I508401,M,F502088,
15475,I508403,M,F502089,
15491,I508423,M,,F502091
15492,I508424,F,,F502091
15519,I508508,M,,F502119
15541,I508530,M,,F502117
15542,I508531,F,,F502117
15561,I508550,F,F502131,
15562,I508551,M,F502132,
15563,I508552,M,F502133,
15581,I508570,F,F502134,
15618,I508618,F,F502151,
15619,I508619,F,F502152,
15620,I508620,F,F502153,
15621,I508621,F,F502154,
15622,I508622,F,F502155,
15623,I508623,F,F502156,
15624,I508624,F,F502157,
15625,I508625,F,F502158,
15628,I508628,F,,F502150
15629,I508629,F,,F502150
15630,I508630,F,,F502150
15631,I508631,F,,F502150
15632,I508632,F,,F502150
15633,I508633,M,,F502150
15634,I508634,F,,F502150
15640,I508640,M,,F502159
15650,I88888888,U,,
